month,bab_return,ret_L_excess,ret_H_excess,ret_L_raw,ret_H_raw,beta_L,beta_H,n_low,n_high,n_total,rf,median_beta
2005-06,0.02716739174458077,0.022460560019046085,0.013477916954739586,0.02462715754908748,0.0156725233130383,0.6122756427941484,1.4162909636269398,1561,1561,3122,0.0023,0.913214
2005-07,0.00410145454066433,0.03670046938894642,0.07834210891318251,0.03866722793414035,0.08033847901592608,0.6186027565325388,1.4185587145187708,1563,1564,3127,0.0024,0.922644
2005-08,0.005817843700769709,-0.005317822785230843,-0.020555173643944886,-0.003052330077149303,-0.01825975466078479,0.627652121132866,1.4383895848432842,1575,1576,3151,0.003,0.945734
2005-09,0.008537979247290266,0.0080425714817055,0.005930630217348898,0.010111090117649364,0.008029004490576353,0.6356420054247798,1.4413291027277546,1568,1569,3137,0.0029,0.959381
2005-10,-0.01696248636519284,-0.0287431241877464,-0.04029393704043582,-0.026684743476911594,-0.038199626749230144,0.6278013042188818,1.3980607911065932,1566,1566,3132,0.0027,0.9498549999999999
2005-11,0.00011954997931551414,0.02925309261860694,0.06587376048360151,0.03131321414988299,0.06797131942253651,0.6293559529177357,1.420873671559602,1576,1577,3153,0.0031,0.966707
2005-12,0.011190249989845628,-0.0007839714018574185,-0.01754485743328709,0.0033391413325175815,-0.01335763329266209,0.6211399661988282,1.408953966273828,1600,1600,3200,0.0032,0.9704475
2006-01,0.0039756417481976655,0.035670497810458286,0.07463595818724217,0.03959216296222063,0.07863122951049167,0.6322952062538358,1.4233000303097394,1604,1605,3209,0.0034999999999999,0.980167
2006-02,0.008025300138514508,0.0024613163278732844,-0.00595321197788083,0.00619815759529353,-0.002156517408499998,0.6373918693288019,1.4297693803280183,1597,1597,3194,0.0034,0.991126
2006-03,0.021886482612590866,0.024873153386466913,0.024909759374605378,0.029371283871393247,0.029500542771733605,0.6351258941034145,1.4418646433771145,1619,1619,3238,0.0037,0.9919955
2006-04,0.005513342625624803,0.007542777379925116,0.008971890581032337,0.011288339722172655,0.012767666818459797,0.6524918895401064,1.4837877626099025,1619,1620,3239,0.0036,1.02493
2006-05,0.008283404281864658,-0.022884814865265054,-0.06380313481647235,-0.018560987075917905,-0.059421228291295994,0.645447687793062,1.458719864715361,1627,1628,3255,0.0043,1.009827
2006-06,0.003687087192184132,-0.011529308745547813,-0.030460266586405823,-0.007228338864197963,-0.026069814313816074,0.6364970456873675,1.397210266774647,1621,1621,3242,0.004,0.9827865
2006-07,0.03288255777800539,-0.006682713797160275,-0.05997217436335692,-0.002756648976492798,-0.055976861529399284,0.6283640326734188,1.3781112904671715,1623,1623,3246,0.004,0.9768895
2006-08,-0.0026160830162067286,0.020858509346499635,0.049417637663544865,0.025363037460676644,0.05400972630999163,0.6354234997930792,1.3943148771226177,1637,1637,3274,0.0042,0.981762
2006-09,-0.002808546148499679,0.0035675251021419527,0.011703873785951582,0.007485095279995595,0.0156997284929244,0.6286480813868547,1.379610526760274,1650,1651,3301,0.0040999999999999,0.969664
2006-10,0.013336750962428964,0.03564038825288646,0.06048026764737042,0.039959992763569346,0.06486727280512185,0.6398904303155313,1.4277383180653733,1676,1676,3352,0.0040999999999999,0.997548
2006-11,0.011938620810730542,0.029920658698562377,0.04986396167065639,0.03402787398698466,0.05405005436981915,0.6363010271759666,1.4212661280050414,1698,1699,3397,0.0042,0.987702
2006-12,0.02045237747341188,0.01597090564789855,0.006850064642211858,0.0199055266489596,0.010833957508293433,0.6319684605175985,1.421380476143064,1709,1709,3418,0.004,0.9859855
2007-01,0.009572214384015364,0.01483114451216229,0.019958050756896245,0.018768095416555053,0.023944824841342315,0.6308060020272738,1.4317926055832895,1719,1720,3439,0.0044,0.993972
2007-02,0.011468453445878234,0.0030247251769292215,-0.0091712793434959,0.006767366537987824,-0.005380114932657839,0.6199818935285865,1.3917551274354127,1725,1725,3450,0.0038,0.9715689999999999
2007-03,0.008873712165576027,0.008158805366163759,0.005843828288180947,0.01248553664309769,0.010232090389856268,0.6195394232205969,1.360474393650945,1715,1715,3430,0.0043,0.9648315000000001
2007-04,0.010067859273100738,0.01759310095728976,0.02530239997153124,0.02151467487027158,0.029295425795672375,0.6117128056006382,1.3536099361714555,1721,1721,3442,0.0044,0.9649855
2007-05,0.00516423589161533,0.019424889226522926,0.035483123024292636,0.02373885448295458,0.0398718880234044,0.6230263437720378,1.3639987738064638,1724,1724,3448,0.0040999999999999,0.9736435
2007-06,-0.0001920123292667754,-0.009206623886156408,-0.019780471571611766,-0.005073674055439263,-0.015598462611589878,0.6326987675236825,1.3775332957775042,1710,1710,3420,0.004,0.9820694999999999
2007-07,-0.008674199269285122,-0.038566314868859836,-0.07201144113087664,-0.03443869821029541,-0.06782669017909132,0.6231517267031085,1.3532188697276284,1711,1712,3423,0.004,0.96591
2007-08,-0.009919647654827354,-0.004439585267860922,0.0033329943661631603,7.802105629658117e-05,0.007912592201878373,0.6086453925731773,1.2694988596487269,1684,1684,3368,0.0042,0.9277015
2007-09,0.01944708074595932,0.014147167523006198,0.004917380536283543,0.01786655628691513,0.008715006885742891,0.6044269471172623,1.2421274983682549,1666,1666,3332,0.0032,0.9184939999999999
2007-10,0.010607285164374362,0.004326355338058036,-0.0040871824553536,0.006577485546391368,-0.0017922088513286573,0.5955407819398384,1.2227180420156607,1680,1680,3360,0.0032,0.9086240000000001
2007-11,-0.0215630462988564,-0.0356968999811874,-0.046379817155562664,-0.031593041162053394,-0.042190860061258176,0.5869486742311686,1.1815096856052543,1662,1662,3324,0.0034,0.8830169999999999
2007-12,-0.010826321762012312,-0.005343125363434275,0.002102159478015517,-0.0033772838638065597,0.004099347785973001,0.5904870948930492,1.1825513492567523,1652,1652,3304,0.0027,0.888064
2008-01,-0.031383980664859756,-0.03153879502261219,-0.02638340097099877,-0.029476197317810312,-0.024284628087055574,0.5874973319511616,1.1831483094541608,1622,1622,3244,0.0021,0.88137
2008-02,0.027279324724402094,-0.01648195984663833,-0.06543226837070253,-0.01452712044636959,-0.06343328271781312,0.5983658314623264,1.1934907090141227,1597,1597,3194,0.0013,0.8924460000000001
2008-03,-0.049962874137554736,-0.023984257465261838,0.011298034351536907,-0.022027464006315525,0.01329726152265737,0.5931379528819561,1.1859395347365698,1582,1583,3165,0.0017,0.887174
2008-04,0.0099247320965048,0.006569521522474569,0.0014094650094515846,0.008710644649593959,0.0036066690562365244,0.5914632769514435,1.1919338072013212,1579,1580,3159,0.0018,0.888479
2008-05,0.030198461318255078,0.021965833668562015,0.008050021883668093,0.024015282096275844,0.010147670468951361,0.5946381264716654,1.1941220713580298,1588,1589,3177,0.0018,0.890457
2008-06,0.022747190636941597,-0.04854991011313143,-0.12452395914154638,-0.046499571839806575,-0.12242736669484945,0.599456734835347,1.2003808882977447,1580,1581,3161,0.0017,0.89295
